YM,orig,weekly_pricelevel_monthly,d_weekly_pricele,A_weekly_monthly,d_A_weekly_month,weekly_logret_monthly,d_weekly_logret_,daily_uslag1_monthly,d_daily_uslag1_m,roll20_month_mean,d_roll20_month_m
2025-08,0.72,0.888,0.168,0.9052,0.1852,0.9031,0.1831,0.6778,-0.0422,0.1253,-0.5947
2025-09,0.66,0.9174,0.2574,0.7668,0.1068,0.7738,0.1138,0.5018,-0.1582,0.2876,-0.3724
2025-10,0.95,0.8827,-0.0673,0.8906,-0.0594,0.8933,-0.0567,0.1746,-0.7754,0.057,-0.893
2025-11,0.62,0.5512,-0.0688,0.8343,0.2143,0.8382,0.2182,0.6248,0.0048,0.2392,-0.3808
2025-12,-0.44,-0.027,0.413,0.1269,0.5669,0.1183,0.5583,0.6142,1.0542,-0.1097,0.3303
2026-01,-0.86,0.3441,1.2041,0.5335,1.3935,0.5273,1.3873,0.119,0.979,0.0638,0.9238
2026-02,-1.0,-0.4957,0.5043,0.1766,1.1766,0.1866,1.1866,0.5759,1.5759,-0.1759,0.8241
2026-03,0.07,0.2217,0.1517,-0.0943,-0.1643,-0.0992,-0.1692,0.6272,0.5572,-0.2822,-0.3522
2026-04,0.77,0.9817,0.2117,0.1322,-0.6378,0.127,-0.643,0.2754,-0.4946,0.0909,-0.6791
2026-05,0.92,0.9814,0.0614,0.948,0.028,0.9445,0.0245,0.4031,-0.5169,0.1786,-0.7414
2026-06,0.67,0.6909,0.0209,0.8804,0.2104,0.8837,0.2137,0.4288,-0.2412,0.3574,-0.3126
