YM,KOSPI_ret_vs_EEM_ret,n_em,KOSPI_ret_vs_DXY_chg,n_dxy,alpha_vs_fed_net_liquidity,n_alpha
2025-08,0.39132616232394324,18,0.16105197760568885,18,-0.29953609423844146,16
2025-09,0.32640829398823756,20,-0.03158817905396051,20,0.1912439033591184,20
2025-10,0.2413165336103764,17,-0.2371199054745365,17,-0.12239104155154781,17
2025-11,0.18635955570289217,18,-0.12394323160381239,18,0.030551205929689757,18
2025-12,-0.02868325308058965,20,0.05987748779366431,20,-0.12358421045441755,20
2026-01,0.44359230245524944,18,-0.15109696212401072,18,0.020849610909930205,18
2026-02,-0.010076097094381424,16,-0.5275112685344474,16,0.20162010069069689,16
2026-03,-0.39456887290817655,20,0.3691570583867771,20,0.21051337995628952,20
2026-04,0.36433175445824284,20,-0.18967723681040394,20,0.09931940853869872,20
2026-05,0.5453032164081185,15,-0.2081648716748954,15,0.021377448562533537,15
2026-06,0.5528688381013409,18,-0.252249865982734,18,0.03379213306357832,18
2026-07,0.6561424026964737,11,-0.2785086336733506,11,0.2668947713096035,11
