date,LS_KOSPI_Close,LS_KOSPI_Volume,LS_KOSDAQ_Close,LS_KOSDAQ_Volume
2025-08-01,3119.41,507776,772.79,835015
2025-08-04,3147.75,293454,784.06,705683
2025-08-05,3198.0,273440,798.6,689089
2025-08-06,3198.14,327358,803.49,696605
2025-08-07,3227.68,327048,805.81,765440
2025-08-08,3210.01,341443,809.27,848043
2025-08-11,3206.77,304968,811.85,928260
2025-08-12,3189.91,373217,807.19,1106880
2025-08-13,3224.37,320070,814.1,979563
2025-08-14,3225.66,441468,815.26,912584
2025-08-18,3177.28,326133,798.05,764723
2025-08-19,3151.56,285291,787.96,866728
2025-08-20,3130.09,335285,777.61,877724
2025-08-21,3141.74,276915,777.24,894577
2025-08-22,3168.73,236797,782.51,833027
2025-08-25,3209.86,220165,798.02,770618
2025-08-26,3179.36,325353,801.66,784245
2025-08-27,3187.16,281721,801.72,729017
2025-08-28,3196.32,312188,798.43,787081
2025-08-29,3186.01,245132,796.91,855306
2025-09-01,3142.93,260138,785.0,1093853
2025-09-02,3172.35,310678,794.0,1039047
2025-09-03,3184.42,335816,796.81,1189074
2025-09-04,3200.83,286256,805.42,1252331
2025-09-05,3205.12,323845,811.4,1013622
2025-09-08,3219.59,372300,818.6,886186
2025-09-09,3260.05,439946,824.82,1282471
2025-09-10,3314.53,564707,833.0,895071
2025-09-11,3344.2,435589,834.76,960434
2025-09-12,3395.54,448857,847.08,954438
2025-09-15,3407.31,378854,852.69,944743
2025-09-16,3449.62,406214,851.84,1035618
2025-09-17,3413.4,326610,845.53,1004374
2025-09-18,3461.3,391177,857.11,968141
2025-09-19,3445.24,348845,863.11,951398
2025-09-22,3468.65,287867,874.36,956058
2025-09-23,3486.19,358335,872.21,964171
2025-09-24,3472.14,287145,860.94,1036233
2025-09-25,3471.11,293075,852.48,871794
2025-09-26,3386.05,399150,835.19,749242
2025-09-29,3431.21,416480,846.71,663696
2025-09-30,3424.6,526402,841.99,839740
2025-10-01,3455.83,493641,845.34,620014
2025-10-02,3549.21,402107,854.25,820880
2025-10-10,3610.6,407411,859.49,773577
2025-10-13,3584.55,408033,860.49,698532
2025-10-14,3561.81,734085,847.96,996539
2025-10-15,3657.28,543607,864.72,879762
2025-10-16,3748.37,495791,865.41,899458
2025-10-17,3748.89,420770,859.54,859532
2025-10-20,3814.69,410147,875.77,846813
2025-10-21,3823.84,526854,872.5,1118285
2025-10-22,3883.68,597216,879.15,871961
2025-10-23,3845.56,423588,872.03,1060356
2025-10-24,3941.59,426897,883.08,961807
2025-10-27,4042.83,516999,902.7,997294
2025-10-28,4010.41,408225,903.3,842075
2025-10-29,4081.15,466898,901.59,976841
2025-10-30,4086.89,566538,890.86,1214716
2025-10-31,4107.5,408275,900.42,895006
2025-11-03,4221.87,472676,914.55,1037137
2025-11-04,4121.74,423543,926.57,931506
2025-11-05,4004.42,594163,901.89,1130177
2025-11-06,4026.45,423421,898.17,981007
2025-11-07,3953.76,377050,876.81,1041128
2025-11-10,4073.24,339514,888.35,727290
2025-11-11,4106.39,377554,884.27,966121
2025-11-12,4150.39,334584,906.51,1001472
2025-11-13,4170.63,424189,918.37,911087
2025-11-14,4011.57,399992,897.9,831830
2025-11-17,4089.25,344097,902.67,715016
2025-11-18,3953.62,319660,878.7,849174
2025-11-19,3929.51,338242,871.32,748690
2025-11-20,4004.85,360282,891.94,636595
2025-11-21,3853.26,319324,863.95,752170
2025-11-24,3846.06,373120,856.44,707039
2025-11-25,3857.78,279294,856.03,679352
2025-11-26,3960.87,295327,877.32,623313
2025-11-27,3986.91,257855,880.06,721127
2025-11-28,3926.59,241923,912.67,802794
2025-12-01,3920.37,296915,922.38,847837
2025-12-02,3994.93,319035,928.42,783739
2025-12-03,4036.3,290896,932.01,816178
2025-12-04,4028.51,352043,929.83,754373
2025-12-05,4100.05,478513,924.74,699774
2025-12-08,4154.85,395583,927.79,702958
2025-12-09,4143.55,400643,931.35,711666
2025-12-10,4135.0,317902,935.0,770850
2025-12-11,4110.62,539843,934.64,912428
2025-12-12,4167.16,426616,937.34,1012037
2025-12-15,4090.59,346845,938.83,991670
2025-12-16,3999.13,373990,916.11,933444
2025-12-17,4056.41,360956,911.07,1005567
2025-12-18,3994.51,581445,901.33,900507
2025-12-19,4020.55,442664,915.27,973703
2025-12-22,4105.93,315627,929.14,986662
2025-12-23,4117.32,385848,919.56,956469
2025-12-24,4108.62,363614,915.2,833835
2025-12-26,4129.68,510162,919.67,829359
2025-12-29,4220.56,502394,932.59,913419
2025-12-30,4214.17,408198,925.47,818897
