date,foreign_netbuy,foreign_netbuy_qty,inst_netbuy,kospi_jisu
2025-08-01,-6524,-12057,-10720,3119.41
2025-08-04,830,13636,1316,3147.75
2025-08-05,2919,3172,947,3198.0
2025-08-06,2804,13268,-4020,3198.14
2025-08-07,-171,2796,1092,3227.68
2025-08-08,-1576,5462,-1318,3210.01
2025-08-11,2169,4134,-2160,3206.77
2025-08-12,-604,1621,-981,3189.91
2025-08-13,6349,6301,-809,3224.37
2025-08-14,-779,4609,197,3225.66
2025-08-18,-4881,-2121,813,3177.28
2025-08-19,-4544,-1526,2539,3151.56
2025-08-20,-2185,-3079,5024,3130.09
2025-08-21,-152,6594,1598,3141.74
2025-08-22,1826,724,1556,3168.73
2025-08-25,1224,3361,1543,3209.86
2025-08-26,-6836,-18153,-2657,3179.36
2025-08-27,-2023,-7670,277,3187.16
2025-08-28,-241,-594,3264,3196.32
2025-08-29,-3724,-13955,648,3186.01
2025-09-01,-2720,-5817,-1940,3142.93
2025-09-02,4010,-596,-1416,3172.35
2025-09-03,4359,5133,-3756,3184.42
2025-09-04,2025,7920,-232,3200.83
2025-09-05,-1374,-5133,1124,3205.12
2025-09-08,2301,7896,778,3219.59
2025-09-09,6808,2443,2806,3260.05
2025-09-10,13817,23574,9046,3314.53
2025-09-11,3000,4322,8225,3344.2
2025-09-12,14355,18074,6119,3395.54
2025-09-15,2667,6074,-1376,3407.31
2025-09-16,17927,13082,1083,3449.62
2025-09-17,-347,-1292,-3075,3413.4
2025-09-18,2851,6376,4294,3461.3
2025-09-19,-3080,-8574,-3357,3445.24
2025-09-22,5653,14991,2672,3468.65
2025-09-23,3414,2111,-1363,3486.19
2025-09-24,-2486,-4599,2124,3472.14
2025-09-25,2196,589,2707,3471.11
2025-09-26,-5707,-6101,-4892,3386.05
2025-09-29,4472,8954,3014,3431.21
2025-09-30,230,-3298,-497,3424.6
2025-10-01,8455,1544,2208,3455.83
2025-10-02,31265,44749,-675,3549.21
2025-10-10,10592,15125,-5936,3610.6
2025-10-13,-8220,3150,-4471,3584.55
2025-10-14,5581,1903,-6299,3561.81
2025-10-15,1631,17281,7512,3657.28
2025-10-16,6533,7497,7813,3748.37
2025-10-17,4438,1251,-1688,3748.89
2025-10-20,-2500,5871,6428,3814.69
2025-10-21,-124,-432,2116,3823.84
2025-10-22,-7033,850,7633,3883.68
2025-10-23,-4071,-4702,-3972,3845.56
2025-10-24,5756,8784,14054,3941.59
2025-10-27,6471,20385,2343,4042.83
2025-10-28,-16379,-10032,925,4010.41
2025-10-29,-1066,-9039,5196,4081.15
2025-10-30,-1173,-14046,-8379,4086.89
2025-10-31,13212,11618,-11064,4107.5
2025-11-03,-7949,-6239,1841,4221.87
2025-11-04,-22282,-3999,-4989,4121.74
2025-11-05,-20695,-19034,-1877,4004.42
2025-11-06,-16950,-4772,8301,4026.45
2025-11-07,-4550,-8114,-2446,3953.76
2025-11-10,-1510,22669,13066,4073.24
2025-11-11,770,3905,2247,4106.39
2025-11-12,-4265,16412,9093,4150.39
2025-11-13,9989,5200,-7179,4170.63
2025-11-14,-23575,-23754,-9005,4011.57
2025-11-17,5189,-3890,-245,4089.25
2025-11-18,-5500,-13210,-6788,3953.62
2025-11-19,-10495,-5323,6256,3929.51
2025-11-20,7406,23869,7566,4004.85
2025-11-21,-28229,-22457,4935,3853.26
2025-11-24,-7993,-9550,12719,3846.06
2025-11-25,49,-3796,315,3857.78
2025-11-26,5158,22918,12280,3960.87
2025-11-27,1546,4341,4326,3986.91
2025-11-28,-20369,-1445,4587,3926.59
2025-12-01,2235,-462,-2333,3920.37
2025-12-02,12147,25822,3929,3994.93
2025-12-03,2816,3842,7364,4036.3
2025-12-04,-6960,-11250,1318,4028.51
2025-12-05,9934,16578,11528,4100.05
2025-12-08,3211,-5114,-308,4154.85
2025-12-09,-889,-937,494,4143.55
2025-12-10,3739,-30,-3003,4135.0
2025-12-11,3656,23135,-7753,4110.62
2025-12-12,414,12976,14184,4167.16
2025-12-15,-9569,-16328,-4803,4090.59
2025-12-16,-10305,-20025,-2309,3999.13
2025-12-17,-322,-2992,3353,4056.41
2025-12-18,-3459,-6948,-1006,3994.51
2025-12-19,-7573,5771,8541,4020.55
2025-12-22,11017,14956,16055,4105.93
2025-12-23,9551,1078,3527,4117.32
2025-12-24,5225,2003,2039,4108.62
2025-12-26,17790,-166,4435,4129.68
2025-12-29,3337,3538,-3133,4220.56
2025-12-30,-4768,-10443,-3763,4214.17
2026-01-02,6309,3194,-2477,4309.63
2026-01-05,21726,16988,-7046,4457.52
2026-01-06,-6184,-2553,-664,4525.48
2026-01-07,12548,-9876,-9397,4551.06
2026-01-08,-979,-6192,-14014,4552.37
2026-01-09,-16068,-34,12046,4586.32
2026-01-12,-3512,5998,2101,4624.79
2026-01-13,-2793,-1609,7881,4692.64
2026-01-14,-3760,3258,5887,4723.1
2026-01-15,3450,8880,12905,4797.55
2026-01-16,4350,17410,3083,4840.74
2026-01-19,5532,13659,-256,4904.66
2026-01-20,1232,31737,-6500,4885.75
2026-01-21,4394,-19760,3217,4909.93
2026-01-22,-2432,35422,-1568,4952.53
2026-01-23,1438,19110,4790,4990.07
2026-01-26,-1588,4557,-15414,4949.59
2026-01-27,8448,-985,2474,5084.85
2026-01-28,4008,13507,-14021,5170.81
2026-01-29,-14897,28649,-1673,5221.25
2026-01-30,-19729,-20362,-4241,5224.36
2026-02-02,-25168,-25149,-22126,4949.67
2026-02-03,7038,26449,21708,5288.08
2026-02-04,-9413,29602,17836,5371.1
2026-02-05,-50108,-39787,-20693,5163.57
2026-02-06,-33233,-25499,9414,5089.14
2026-02-09,4320,11919,27123,5298.04
2026-02-10,1474,32441,5643,5301.69
2026-02-11,8461,2210,6927,5354.49
2026-02-12,29954,18617,13800,5522.27
2026-02-13,-9220,5624,831,5507.01
2026-02-19,-9396,15968,16542,5677.25
2026-02-20,-7420,-36474,16150,5808.53
2026-02-23,-11132,-18756,-1271,5846.09
2026-02-24,-2013,-16748,23773,5969.64
2026-02-25,-13082,-26884,14701,6083.86
2026-02-26,-21135,-34533,12569,6307.27
2026-02-27,-70528,-28689,5666,6244.13
2026-03-03,-51487,-1926,-8859,5791.91
2026-03-04,2303,68480,-5978,5093.54
2026-03-05,-1446,10206,-17186,5583.9
2026-03-06,-19418,-23624,-11142,5584.87
2026-03-09,-31735,-22282,-15441,5251.87
2026-03-10,10283,-9010,9164,5532.59
2026-03-11,-2563,16676,7821,5609.95
2026-03-12,-23831,-35605,775,5583.25
2026-03-13,-14502,-24648,-10434,5487.24
2026-03-16,-8485,-27125,911,5549.85
2026-03-17,-1740,-5649,7341,5640.48
2026-03-18,8802,26311,31093,5925.03
2026-03-19,-18760,-29263,-6649,5763.22
2026-03-20,-12402,31961,-10260,5781.2
2026-03-23,-36751,-72509,-38173,5405.75
2026-03-24,-19863,-11643,9683,5553.92
2026-03-25,-12895,7890,23230,5642.21
2026-03-26,-29370,-26847,-2999,5460.46
2026-03-27,-34286,-14758,7785,5438.87
2026-03-30,-20945,-21824,8450,5277.3
2026-03-31,-38386,-27853,10251,5052.46
2026-04-01,-6411,39911,40419,5478.7
2026-04-02,-1368,-38113,-14517,5234.05
2026-04-03,8035,24066,7390,5377.3
2026-04-06,-1596,-8574,8371,5450.33
2026-04-07,3704,-7133,-4001,5494.78
2026-04-08,19089,41673,27268,5872.34
2026-04-09,18476,3308,-25125,5778.01
2026-04-10,10641,47576,-2031,5858.87
2026-04-13,-4579,-25809,-6698,5808.62
2026-04-14,8276,-1069,12545,5967.75
2026-04-15,4973,16000,368,6091.39
2026-04-16,4814,6639,10783,6226.05
2026-04-17,-19974,-10580,1501,6191.92
2026-04-20,-2338,-15767,2938,6219.09
2026-04-21,11565,681,9181,6388.47
2026-04-22,-6762,451,-4046,6417.93
2026-04-23,-820,-16645,-2965,6475.81
2026-04-24,-19496,9184,8053,6475.63
2026-04-27,8563,-5668,11349,6615.03
2026-04-28,-1843,3874,3532,6641.02
2026-04-29,-6071,-7610,4771,6690.9
2026-04-30,-14559,-18199,2838,6598.87
2026-05-04,29308,5081,20098,6936.99
2026-05-06,31085,6754,-22894,7384.56
2026-05-07,-66987,-20626,8917,7490.05
2026-05-08,-52967,-22620,12542,7498.0
2026-05-11,-28147,-10858,-458,7822.24
2026-05-12,-56090,-18592,-12138,7643.15
2026-05-13,-37227,-19031,16876,7844.01
2026-05-14,-21450,19392,1927,7981.41
2026-05-15,-56039,-10287,-17347,7493.18
2026-05-18,-36492,-9849,13904,7516.04
2026-05-19,-57242,-9151,1575,7271.66
2026-05-20,-29310,-2192,11070,7208.95
