date,VKOSPI,VKOSPI_Open,VKOSPI_High,VKOSPI_Low
2025-08-01,25.87,23.07,26.21,22.94
2025-08-04,24.05,26.05,26.19,23.95
2025-08-05,22.31,23.26,23.51,22.3
2025-08-06,21.93,22.72,23.0,21.83
2025-08-07,21.08,21.59,21.81,21.07
2025-08-08,20.79,21.12,21.22,20.49
2025-08-11,20.34,20.72,21.08,20.15
2025-08-12,21.15,20.37,21.18,20.07
2025-08-13,20.11,20.11,20.49,20.03
2025-08-14,20.46,19.98,20.56,19.98
2025-08-18,21.37,21.44,21.79,21.27
2025-08-19,21.5,21.15,21.69,21.01
2025-08-20,22.13,22.04,23.53,21.91
2025-08-21,21.38,21.97,22.01,21.07
2025-08-22,21.09,21.45,21.63,21.02
2025-08-25,20.1,21.19,21.19,20.04
2025-08-26,20.37,20.27,20.78,20.21
2025-08-27,19.97,20.44,20.56,19.83
2025-08-28,19.31,20.14,20.16,19.23
2025-08-29,19.52,19.29,19.52,19.13
2025-09-01,20.4,20.32,20.71,19.44
2025-09-02,19.57,20.45,20.45,19.43
2025-09-03,19.74,19.9,20.13,19.49
2025-09-04,19.26,19.58,19.59,19.12
2025-09-05,18.43,18.7,18.8,18.41
2025-09-08,18.36,18.71,18.79,18.33
2025-09-09,18.7,18.25,18.84,18.03
2025-09-10,20.38,18.87,20.6,18.82
2025-09-11,20.06,20.63,20.98,19.94
2025-09-12,20.61,20.98,21.05,20.43
2025-09-15,20.71,21.16,21.33,20.68
2025-09-16,21.03,20.69,21.27,20.3
2025-09-17,21.1,21.1,21.16,20.86
2025-09-18,20.69,20.73,20.82,20.26
2025-09-19,20.68,20.95,21.25,20.67
2025-09-22,20.94,21.28,21.46,20.79
2025-09-23,20.98,21.23,21.33,20.82
2025-09-24,21.2,21.2,21.69,21.18
2025-09-25,20.62,21.17,21.29,20.55
2025-09-26,21.77,20.82,22.67,20.7
2025-09-29,20.96,21.17,21.18,20.77
2025-09-30,20.62,21.08,21.09,20.48
2025-10-01,20.55,20.48,20.55,20.13
2025-10-02,22.34,21.35,22.66,20.96
2025-10-10,23.9,22.99,24.47,22.88
2025-10-13,28.03,27.56,28.44,27.24
2025-10-14,30.45,26.55,31.12,26.01
2025-10-15,27.66,28.89,29.02,27.26
2025-10-16,29.89,27.86,30.11,27.78
2025-10-17,34.58,32.72,34.62,32.09
2025-10-20,30.9,32.18,32.34,30.9
2025-10-21,30.62,30.26,31.65,30.0
2025-10-22,29.98,30.6,30.91,29.45
2025-10-23,30.63,31.05,31.44,30.03
2025-10-24,31.29,30.77,31.31,30.53
2025-10-27,32.94,32.57,32.99,32.16
2025-10-28,33.24,33.36,34.27,32.99
2025-10-29,32.63,33.61,34.0,32.38
2025-10-30,31.89,32.97,33.02,31.68
2025-10-31,30.4,31.96,31.97,30.38
2025-11-03,32.89,31.15,33.14,30.77
2025-11-04,35.78,33.62,35.78,33.42
2025-11-05,40.51,37.5,42.97,37.48
2025-11-06,40.2,39.17,40.64,38.58
2025-11-07,41.88,43.93,44.65,41.88
